"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"GEORGES VIGOUROUX SAS","CAHORS CEDEX 9",46003,0,346337.4,36995.4,0,383332.8
"GFA CHANCEL","LAMENTIN",97232,829720.84,0,27303.38,0,857024.22
"GFA DU MARAIS","AIGUES MORTES",30220,616357.98,0,0,0,616357.98
"GICB GROUPT INTERPRODUCTEURS COLLIOURE ET BANYULS","BANYULS SUR MER CEDEX",66652,0,1792962.08,52000,0,1844962.08
"GIE HERMITAGE BASSE ISERE","TAIN L HERMITAGE",26603,0,468887.56,0,0,468887.56
"GMA","BAIE MAHAULT",97122,0,3258944.46,0,0,3258944.46
"GMC","FORT DE FRANCE",97200,0,510896.4,0,0,510896.4
"GRADIS SARL","BASSE POINTE",97218,1351199.63,0,0,0,1351199.63
"GRAP'SUD","CRUVIERS LASCOURS",30360,0,4167668.56,0,0,4167668.56
"GWADAVIC","BAIE MAHAULT",97122,0,0,440875.07,0,440875.07
"HABITATION PETITE GRENADE","LAMENTIN",97232,1407788.81,0,24735.75,0,1432524.56
"HORTI FRUITS SARL","MARIGOT",97225,1193847.49,0,0,0,1193847.49
"HTION LE VERGER SARL","BASSE POINTE",97218,1469558.85,0,0,0,1469558.85
"HTION RIVIERE MONSIEUR EARL","SAINT JOSEPH",97212,439396.34,0,0,0,439396.34
"IGRECA","SEICHES SUR LE LOIR",49140,0,1253242.93,0,0,1253242.93
"IGUAVIE","BAIE MAHAULT",97122,0,1724815.98,79527.79,0,1804343.77
"INRA","CASTANET TOLOSAN CEDEX",31326,0,0,459812.74,0,459812.74
"INSTITUT DE L'ELEVAGE","PARIS CEDEX 12",75595,0,852209.29,55662.35,0,907871.64
"INSTITUT TECHNIQUE TROPICAL IT2","DUCOS",97224,0,0,1075021.12,0,1075021.12
"INTER BEAUJOLAIS","VILLEFRANCHE SUR SAONE CED",69661,0,461639.84,72980.42,0,534620.26
"INTERPROFESSION DES VINS DU SUD OUEST","CASTANET TOLOSAN CEDEX",31321,0,312360.93,1479507.45,0,1791868.38
"INTERPROFESSION DES VINS DU VAL DE LOIRE","TOURS",37000,0,570906.81,0,0,570906.81
"IRATI","HELETTE",64640,0,0,513051.03,0,513051.03
"JARDIN CLEMENT SARL","BASSE POINTE",97218,1479386.13,0,0,0,1479386.13
"LA CHANVRIERE DE L'AUBE","BAR SUR AUBE",10200,0,692096.98,0,0,692096.98
"LA DISTILLERIE DU VOUVRAY","CHANCAY",37210,0,382497.6,0,0,382497.6
"LA SALLE SARL","SAINT MARIE",97230,389038.34,0,0,0,389038.34
"LE CELLIER DES 3 COLLINES","FLAYOSC",83780,0,772292.81,0,0,772292.81
"LE MOULIN","ROBERT",97231,0,1110721.94,0,0,1110721.94
"LES DELICES DES 7 VALLEES","AUBIGNY EN ARTOIS",62690,0,0,942303.56,0,942303.56
"LES FIGUIERS SCEA","MORNE ROUGE",97260,418249.15,0,0,0,418249.15
"LES GRANDS CHAIS DE FRANCE","PETERSBACH",67290,0,1357455.18,0,0,1357455.18
"LES MONTAGNES D AUZANCES","AUZANCES",23700,0,0,719656.95,0,719656.95
"LES PRODUCTEURS DE GUADELOUPE","BASSE TERRE",97100,0,-126720,1783367.16,0,1656647.16
"LES RESTAURANTS DU COEUR","PARIS 9E ARRONDISSEMENT",75009,0,19721373.88,0,0,19721373.88
"LES VERGERS D'ANJOU","SAINT SYLVAIN D ANJOU",49480,0,989978.96,0,0,989978.96
"LES VINS DROUETS FRERES","CHAPELLE HEULIN",44330,0,453230.72,0,0,453230.72
"LES VINS GEORGES DUBOEUF","ROMANECHE THORINS",71570,3199.34,1113375.59,0,0,1116574.93
"LES 3 MOULINS VITAPRIM","CARQUEFOU",44470,0,750882.26,0,0,750882.26
"LEYRITZ SENECOURT EURL","BASSE POINTE",97218,643449.85,0,0,0,643449.85
"LIPEQU COOP PRODUCTEURS DE NOIX","SAINT AULAIRE",19130,0,259077.43,178676.72,0,437754.15
"LITTLE SARL","SAINT JOSEPH",97212,429289.83,0,0,0,429289.83
"M CHAPOUTIER S A","TAIN L HERMITAGE",26600,0,898390.83,0,0,898390.83
"MACOUBA SARL","MACOUBA",97218,1287067.57,0,64575,0,1351642.57
"MAG-DO SARL","FRANCOIS",97240,808746.75,0,0,0,808746.75
"MAISON ALBERT BICHOT","BEAUNE",21200,0,1127869.61,0,0,1127869.61
"MAISON GINESTET SA","CARIGNAN DE BORDEAUX",33360,0,433527.02,0,0,433527.02
"MAISON HEBRARD","FRONSAC",33126,0,400000,0,0,400000
"MARAICHER ET HORTICOLE DE LA MARTINIQUE","MACOUBA",97218,0,842797.32,25082.33,0,867879.65
"MINISTERE DE L'AGRICULTURE MAAF","PARIS SP 07",75349,0,0,503065.54,0,503065.54
"MNA","LAMENTIN",97232,0,1551638.44,0,0,1551638.44
"MOULIN DECOLLOGNE","PRECY SUR MARNE",77410,0,983973.46,0,0,983973.46
"MOULIN L'ETANG SARL","BASSE POINTE",97218,1482211.73,0,0,0,1482211.73
"NANTEUROP F & L","SAINT JULIEN DE CONCELLES",44450,0,1124578.41,0,0,1124578.41
"ODARC","BASTIACEDEX",20601,0,0,1044000,0,1044000
"OPLINORD","RENESCURE",59173,0,584186.01,0,0,584186.01
"ORGAN PRODUCT LEGUMES VAULX ESTREES ROS","ESTREES MONS",80200,0,1307655.05,0,0,1307655.05
"ORGANISATION DES PRODUCTEURS FRUITIERS DU DAUPHINOIS","CHANAS",38150,0,503383.64,0,0,503383.64
"PALSO","BORDEAUX",33000,0,0,409800,0,409800
"PERPIGNA SCEA","MACOUBA",97218,432034.9,0,0,0,432034.9
"PIERRE ET BERTRAND COULY","CHINON",37500,0,413037.4,0,0,413037.4
"PLANETE CHANVRE","JOUARRE",77640,0,418288.14,0,0,418288.14
"PNR MORVAN","SAINT BRISSON",58230,0,0,408103.01,0,408103.01
"POUJOL EST","SARREGUEMINES",57200,0,432454.64,0,0,432454.64
"PRODEVA SA","VATRY",51320,0,651769.53,0,0,651769.53
"PROVAL","PORT CEDEX",97822,0,2878145.58,0,0,2878145.58
"PROVENCE TOMATES","TARASCON",13150,0,0,960000,0,960000
"REGION LANGUEDOC ROUSSILLON","MONTPELLIER CEDEX 2",34064,0,0,574845.68,0,574845.68
"RESSOURCE SARL","TRINITE",97220,907808.51,0,0,0,907808.51
"RHUM DAMOISEAU","MOULE",97160,0,482103.9,1633692.5,0,2115796.4
"RHUM MARTINIQUAIS SAINT JAMES","SAINT MARIE",97230,0,1300443.44,0,0,1300443.44
"ROMANN","SIGOLSHEIM",68240,0,1045829.89,0,0,1045829.89
"ROUSSALY","LACAUNE",81230,0,0,557322,0,557322
"SA BAMARYL","FRANCOIS",97240,1654461.65,0,46587.05,0,1701048.7
"SA BELLONIE ET BOURDILLON SUCCES","RIVIERE PILOTE",97211,4652.81,830011.7,0,0,834664.51
"SA BOIS DEBOUT","CAPESTERRE BELLE EAU",97130,4263473.63,0,32797,0,4296270.63
"SA DE FONDS CACAO","CAPESTERRE BELLE EAU",97130,675339.35,0,186,0,675525.35
"SA DES SUCRERIES ET RHUMERIES DE MARIE GALANTE","GRAND BOURG",97112,0,2351104.85,0,0,2351104.85
"SA D'EXPLOITATION CHATEAU MONT-REDON","CHATEAUNEUF DU PAPE",84230,0,617247.7,0,0,617247.7
"SA ELEVEURS DE LA CHEVILLOTE","VALDAHON",25800,0,0,417935.26,0,417935.26
"SA ENTREPRISE VIANDES ABATTAGES","SAINT PIERRE SUR DIVES",14170,0,0,993463.7,0,993463.7
"SA JEAN DECOCK","QUAEDYPRE",59380,0,399756.84,0,0,399756.84
"SA LAPALUN","RIVIERE SALEE",97215,43951.55,0,722187.49,0,766139.04
"SA LAREINTY","LAMENTIN",97232,78890.16,0,418169.1,0,497059.26
"SA LINIERE DE BOSC NOUVEL","CLERES",76690,0,610235.67,0,0,610235.67
"SA MIVOISIN","ADON",45230,587578.6,0,0,0,587578.6
"SA ROQUETTE FRERES","MERVILLE",59660,203700.82,3761064.29,0,0,3964765.11
"SA SAG","GRUGIES",2680,422028.44,0,0,0,422028.44
"SA SOPA","SANDILLON",45640,0,878456.51,0,0,878456.51
"SA VAN ROBAEYS","KILLEM",59122,-16856.88,578164.22,0,0,561307.34
"SAEM PSRM USINE DU GALION","TRINITE",97220,0,1066000,159804.41,0,1225804.41
"SAFER","SAINT DENIS",97400,0,0,998586.93,0,998586.93
"SAINT AROMAN SAS","SAINTE MARIE",97230,619230.49,0,0,0,619230.49
"SAINT ETIENNE SARL","GROS MORNE",97213,496414.74,0,0,0,496414.74
"SARL BLONDINIERE DAMBAS","SAINT CLAUDE",97120,742134.34,0,41627.46,0,783761.8
"SARL CHAMPAGNE FRANCOISE BEDEL ET FILS","CROUTTES SUR MARNE",2310,0,673361.15,0,0,673361.15
"SARL CHAMPAGNE GRUET","BUXEUIL",10110,0,447395.05,0,0,447395.05
"SARL CHATEAU PAILLE","VAUCLIN",97280,721339.39,0,10011.69,0,731351.08
"SARL CITEFI","FRANCOIS",97240,1165025.65,0,23092.29,0,1188117.94
"SARL DES FRUITS DU LOIR","CHENU",72500,0,852485.5,0,0,852485.5
"SARL EA DU MONTVERT","ROBERT",97231,707331.22,0,28053,0,735384.22
"SARL EDEN","AJOUPA BOUILLON",97216,1711279.36,0,25860.14,0,1737139.5
"SARL EXPL AGRICOLE SUD-EST","FRANCOIS",97240,1213260.45,0,34849.46,0,1248109.91
"SARL EXPLOITA AGRICOLE DU GALION","TRINITE",97220,123600,0,418946.98,0,542546.98
"SARL EXPLOITATION AGRICOLE PETIT MORNE","LAMENTIN",97232,4019004.71,0,171140.42,0,4190145.13
"SARL FRAILEG","VENDHUILE",2420,0,1299370.19,0,0,1299370.19
"SARL HABITATION ASSIER","LORRAIN",97214,1206148.54,0,24713.39,0,1230861.93
"SARL HABITATION TRIANON","LAMENTIN",97232,1318616.21,0,24769.29,0,1343385.5
"SARL LA RICHARD","TRINITE",97220,1907160.18,0,51211.55,0,1958371.73
"SARL MARIGOT","BAILLIF",97123,816868.87,0,48939.88,0,865808.75
"SARL PAQUEMAR","VAUCLIN",97280,874712.67,0,16828.7,0,891541.37
"SARL PARNASSE","SAINT PIERRE",97250,1144426.48,0,12577.5,0,1157003.98
"SARL POM'EVASION","ANGERS",49100,0,659696.39,0,0,659696.39
"SARL POTICHE","MACOUBA",97218,559729.59,0,5748.75,0,565478.34
"SARL RIFA","LAMENTIN",97232,581982.61,0,1414.12,0,583396.73
"SARL RIVIERE LEZARDE","SAINT MARIE",97230,1329628.18,0,44398.57,0,1374026.75
"SARL SEA CHANGY-DAMBAS","SAINT CLAUDE",97120,1151897.81,0,120572.66,0,1272470.47
"SARL SOCIETE AGRICOLE PERINELLE","SAINT PIERRE",97250,1222076.71,0,45394.14,0,1267470.85
"SARL STE EXP CHOISY MONTEBELLO","BASSE TERRE",97100,523188.67,0,0,0,523188.67
"SARL STE EXP DUMANOIR","BASSE TERRE",97100,1012181.09,0,41801.77,0,1053982.86
"SARL TEILLAGE DE SAINT MARTIN","SAINT MARTIN DU TILLEUL",27300,1349.92,381700.09,0,0,383050.01
"SARL TERROIRS DU SUD","CAISSARGUES",30132,0,547992.71,0,0,547992.71
